lead_type,name,organization,email,website,platform,status,last_contact,next_action,notes
school,Principal Outreach,DC Public Schools,,https://dcps.dc.gov,Website,new,,Research individual principals and send school outreach,
school,Principal Outreach,Prince George's County Public Schools,,https://www.pgcps.org,Website,new,,Research individual principals and send school outreach,
school,Principal Outreach,Montgomery County Public Schools,,https://www.montgomeryschoolsmd.org,Website,new,,Research individual principals and send school outreach,
school,Principal Outreach,Alexandria City Public Schools,,https://www.acps.k12.va.us,Website,new,,Research individual principals and send school outreach,
school,Principal Outreach,Arlington Public Schools,,https://www.apsva.us,Website,new,,Research individual principals and send school outreach,
youth_program,Program Director Outreach,Boys & Girls Clubs of Greater Washington,,https://bgcgw.org,Website,new,,Find program director and pitch youth leadership talk,
youth_program,Program Director Outreach,DC Department of Parks and Recreation,,https://dpr.dc.gov,Website,new,,Find youth programming contact,
youth_program,Program Director Outreach,Department of Youth Rehabilitation Services,,https://dyrs.dc.gov,Website,new,,Find community programming contact,
youth_program,Program Director Outreach,Latin American Youth Center,,https://www.layc-dc.org,Website,new,,Pitch youth leadership workshop,
youth_program,Program Director Outreach,Maryland-National Capital Park and Planning Commission,,https://www.pgparks.com,Website,new,,Find youth sports and teen program contact,
church,Community Outreach,Local church leader,,,manual,new,,Add local church contacts from personal network,
sports_team,Coach Outreach,Local AAU basketball program,,,manual,new,,Add coaches from DMV basketball network,
sponsor,Business Owner Outreach,Local barbershop / small business,,,manual,new,,Pitch community sponsor package,
podcast_guest,Guest Outreach,Local principal / coach / entrepreneur,,,manual,new,,Invite to Concrete Conversations,
company,Leadership Outreach,Local hospitality or operations company,,,manual,new,,Pitch leadership under pressure session,
